taxid,rank,date,shield_no
921101,DETECTIVE,8/1/2016,3063
954456,POLICE OFFICER,7/9/2013,31899
969446,POLICE OFFICER,11/2/2020,10010
964354,POLICE OFFICER,10/18/2017,4929
949953,POLICE OFFICER,7/6/2011,23589
941309,POLICE OFFICER,7/10/2006,8191
941309,SERGEANT,6/28/2013,1030
941309,LIEUTENANT,9/28/2018,
937934,POLICE OFFICER,7/11/2005,17353
966922,POLICE OFFICER,1/3/2019,26627
941494,POLICE OFFICER,7/10/2006,12190
941494,SERGEANT,6/26/2015,5029
941494,LIEUTENANT,12/21/2021,
933590,POLICE OFFICER,1/20/2004,23409
933590,DETECTIVE,2/28/2014,6465
938882,POLICE OFFICER,7/11/2005,15948
938882,POLICE OFFICER,8/31/2007,15945
959483,POLICE OFFICER,10/7/2015,21774
941310,POLICE OFFICER,7/10/2006,17247
941310,SERGEANT,3/27/2015,5103
941310,LIEUTENANT,9/28/2018,
947701,POLICE OFFICER,7/8/2008,25462
947702,POLICE OFFICER,7/8/2008,25859
947702,SERGEANT,12/19/2019,5031
965917,POLICE OFFICER,7/2/2018,9959
970961,POLICE OFFICER,2/24/2021,21901
969447,POLICE OFFICER,11/2/2020,10419
929583,POLICE OFFICER,7/1/2002,21537
929583,DETECTIVE,8/30/2016,3397
964856,POLICE OFFICER,1/10/2018,30598
958213,POLICE OFFICER,7/8/2015,18718
945450,POLICE OFFICER,1/7/2008,23272
927777,POLICE OFFICER,7/2/2001,118
963830,POLICE OFFICER,7/5/2017,20796
941311,POLICE OFFICER,7/10/2006,30912
954457,POLICE OFFICER,7/9/2013,1462
948584,POLICE OFFICER,7/6/2010,5530
956364,POLICE OFFICER,7/9/2014,11068
956365,POLICE OFFICER,7/9/2014,13577
956365,DETECTIVE,2/9/2022,1009
940184,POLICE OFFICER,1/9/2006,157
940184,SERGEANT,1/29/2021,2721
945451,POLICE OFFICER,1/7/2008,26711
945451,SERGEANT,9/30/2016,614
972493,POLICE OFFICER,10/12/2021,6311
973194,POLICE OFFICER,12/29/2021,30966
973195,POLICE OFFICER,12/29/2021,20004
964858,POLICE OFFICER,1/10/2018,28090
968911,POLICE OFFICER,1/6/2020,22106
968208,POLICE OFFICER,10/7/2019,6458
972494,POLICE OFFICER,10/12/2021,6693
970366,POLICE OFFICER,12/29/2020,1094
968912,POLICE OFFICER,1/6/2020,27625
962195,POLICE OFFICER,10/11/2016,20209
889471,POLICE OFFICER,1/1/1990,8714
889471,DETECTIVE,12/24/2001,2820
961591,POLICE OFFICER,7/13/2016,6428
965644,POLICE OFFICER,4/25/2018,21067
968210,POLICE OFFICER,10/7/2019,7368
963831,POLICE OFFICER,7/5/2017,26113
949954,POLICE OFFICER,7/6/2011,13014
