taxid,rank,date,shield_no
934410,DETECTIVE,6/26/2015,4147
950012,POLICE OFFICER,7/6/2011,25379
964375,POLICE OFFICER,10/18/2017,10976
952416,POLICE OFFICER,7/11/2012,4144
952416,DETECTIVE,11/24/2020,3994
968239,POLICE OFFICER,10/7/2019,26628
948300,POLICE OFFICER,7/14/2009,25102
948300,SERGEANT,7/21/2022,155
962929,POLICE OFFICER,1/4/2017,20684
960165,POLICE OFFICER,1/6/2016,16860
950013,POLICE OFFICER,7/6/2011,12510
941351,POLICE OFFICER,7/10/2006,18874
941351,SERGEANT,6/5/2018,2458
965933,POLICE OFFICER,7/2/2018,187
970977,POLICE OFFICER,2/24/2021,25965
927827,POLICE OFFICER,7/2/2001,13444
932263,POLICE OFFICER,7/1/2003,24070
932263,POLICE OFFICER,3/4/2010,2627
932263,SERGEANT,8/25/2011,1262
932264,POLICE OFFICER,7/1/2003,4699
961622,POLICE OFFICER,7/13/2016,15317
950014,POLICE OFFICER,7/6/2011,13888
950014,SERGEANT,2/9/2022,1126
945472,POLICE OFFICER,1/7/2008,27189
945472,DETECTIVE,3/31/2017,5617
972511,POLICE OFFICER,10/12/2021,4102
971321,POLICE OFFICER,4/28/2021,13258
954496,POLICE OFFICER,7/9/2013,26616
954496,DETECTIVE,6/10/2021,2661
946395,POLICE OFFICER,1/7/2008,22053
945137,POLICE OFFICER,7/9/2007,21375
945137,SERGEANT,4/25/2014,579
942958,POLICE OFFICER,1/10/2007,16697
942958,SERGEANT,11/26/2013,1314
932265,POLICE OFFICER,7/1/2003,26271
958260,POLICE OFFICER,7/8/2015,5763
948623,POLICE OFFICER,7/6/2010,581
948623,DETECTIVE,8/22/2017,175
948623,SERGEANT,2/9/2022,1127
937990,POLICE OFFICER,7/11/2005,7797
937990,DETECTIVE,8/3/2012,7797
937990,SERGEANT,10/26/2012,1953
939635,POLICE OFFICER,7/11/2005,23281
937991,POLICE OFFICER,7/11/2005,11268
937991,DETECTIVE,5/29/2012,1102
961020,POLICE OFFICER,1/6/2016,10421
945473,POLICE OFFICER,1/7/2008,23296
945473,SERGEANT,6/30/2017,1099
963851,POLICE OFFICER,7/5/2017,16207
957850,POLICE OFFICER,1/7/2015,7454
936137,POLICE OFFICER,1/10/2005,16822
923566,POLICE OFFICER,7/7/1999,2412
967754,POLICE OFFICER,7/1/2019,21082
967754,POLICE OFFICER,7/1/2019,21082
970391,POLICE OFFICER,12/29/2020,6763
970391,POLICE OFFICER,12/29/2020,6763
972512,POLICE OFFICER,10/12/2021,2192
972512,POLICE OFFICER,10/12/2021,2192
957336,POLICE OFFICER,1/7/2015,28003
957336,POLICE OFFICER,1/7/2015,28003
945138,POLICE OFFICER,7/9/2007,11710
945138,POLICE OFFICER,7/9/2007,11710
971801,POLICE OFFICER,7/7/2021,21889
971801,POLICE OFFICER,7/7/2021,21889
969485,POLICE OFFICER,11/2/2020,15571
969485,POLICE OFFICER,11/2/2020,15571
969486,POLICE OFFICER,11/2/2020,13404
969486,POLICE OFFICER,11/2/2020,13404
961623,POLICE OFFICER,7/13/2016,15576
970392,POLICE OFFICER,12/29/2020,7484
956393,POLICE OFFICER,7/9/2014,4580
968940,POLICE OFFICER,1/6/2020,27134
936138,POLICE OFFICER,1/10/2005,24051
936138,DETECTIVE,4/30/2020,620
933617,POLICE OFFICER,1/20/2004,301
933617,SERGEANT,3/30/2012,494
973222,POLICE OFFICER,12/29/2021,20051
957337,POLICE OFFICER,1/7/2015,15569
933618,POLICE OFFICER,1/20/2004,17951
933618,SERGEANT,6/2/2014,264
970978,POLICE OFFICER,2/24/2021,26580
973054,POLICE OFFICER,10/15/2021,372
952417,POLICE OFFICER,7/11/2012,28432
952417,DETECTIVE,6/24/2022,5902
944329,POLICE OFFICER,7/9/2007,14209
944329,SERGEANT,9/28/2015,660
948301,POLICE OFFICER,7/14/2009,26428
948301,SERGEANT,2/26/2020,914
948625,POLICE OFFICER,7/6/2010,2958
948625,DETECTIVE,1/25/2019,4144
964376,POLICE OFFICER,10/18/2017,11011
973223,POLICE OFFICER,12/29/2021,20280
969487,POLICE OFFICER,11/2/2020,18757
929644,POLICE OFFICER,7/1/2002,20856
929644,SERGEANT,5/30/2008,91
966443,POLICE OFFICER,10/24/2018,317
970393,POLICE OFFICER,12/29/2020,4861
971802,POLICE OFFICER,7/7/2021,22630
968241,POLICE OFFICER,10/7/2019,20699
958261,POLICE OFFICER,7/8/2015,6287
893836,POLICE OFFICER,1/1/1990,20758
893836,DETECTIVE,2/1/1999,1067
893836,SERGEANT,8/18/2000,3154
893836,LIEUTENANT,8/26/2005,
893836,CAPTAIN,8/27/2010,
893836,DEPUTY INSPECTOR,12/19/2014,
893836,INSPECTOR,3/31/2017,
893836,DEPUTY CHIEF,6/28/2019,
893836,ASSISTANT CHIEF,6/10/2021,
944249,POLICE OFFICER,7/9/2007,15988
944249,DETECTIVE,8/31/2015,5145
973224,POLICE OFFICER,12/29/2021,20552
929645,POLICE OFFICER,7/1/2002,14561
929645,SERGEANT,5/30/2008,119
929645,LIEUTENANT,9/3/2021,
937993,POLICE OFFICER,7/11/2005,8072
937993,DETECTIVE,5/29/2020,6481
931527,POLICE OFFICER,7/1/2002,3788
931527,DETECTIVE,3/30/2007,1587
931527,SERGEANT,9/28/2007,20
931527,SGT DET SQUAD,12/23/2011,
947972,POLICE OFFICER,1/14/2009,10070
945140,POLICE OFFICER,7/9/2007,20699
945140,DETECTIVE,10/26/2018,3430
968941,POLICE OFFICER,1/6/2020,14999
961492,POLICE OFFICER,4/6/2016,7100
969488,POLICE OFFICER,11/2/2020,19456
947973,POLICE OFFICER,1/14/2009,5979
947973,SERGEANT,3/18/2021,168
933619,POLICE OFFICER,1/20/2004,23477
933619,DETECTIVE,7/30/2021,1793
934413,POLICE OFFICER,7/1/2004,28625
936637,POLICE OFFICER,1/10/2005,3019
942960,POLICE OFFICER,1/10/2007,8721
947891,POLICE OFFICER,1/14/2009,3148
947891,SERGEANT,4/28/2017,131
965652,POLICE OFFICER,4/25/2018,7444
971803,POLICE OFFICER,7/7/2021,23166
959459,POLICE OFFICER,10/7/2015,21576
960167,POLICE OFFICER,1/6/2016,12320
963346,POLICE OFFICER,1/4/2017,25158
937995,POLICE OFFICER,7/11/2005,34
921929,POLICE OFFICER,8/31/1998,8237
921929,DETECTIVE,3/30/2007,4563
946413,POLICE OFFICER,1/7/2008,25247
960168,POLICE OFFICER,1/6/2016,16468
934414,POLICE OFFICER,7/1/2004,20783
934414,DETECTIVE,12/17/2015,3929
945475,POLICE OFFICER,1/7/2008,29628
945475,DETECTIVE,9/5/2014,4276
945475,SERGEANT,11/24/2020,2894
919921,POLICE OFFICER,12/8/1997,1364
919921,DETECTIVE,8/28/2002,1259
944775,POLICE OFFICER,7/9/2007,5303
960169,POLICE OFFICER,1/6/2016,15412
946751,POLICE OFFICER,7/8/2008,6966
950017,POLICE OFFICER,7/6/2011,25900
971804,POLICE OFFICER,7/7/2021,25150
960170,POLICE OFFICER,1/6/2016,14936
965935,POLICE OFFICER,7/2/2018,614
929423,POLICE OFFICER,7/1/2002,22317
929423,DETECTIVE,11/2/2009,1297
932415,POLICE OFFICER,7/1/2003,1296
932415,SERGEANT,9/28/2011,316
962931,POLICE OFFICER,1/4/2017,20803
967424,POLICE OFFICER,4/15/2019,7239
954929,POLICE OFFICER,7/9/2013,2210
958262,POLICE OFFICER,7/8/2015,19087
951507,POLICE OFFICER,1/9/2012,3101
951507,DETECTIVE,6/10/2021,2243
971805,POLICE OFFICER,7/7/2021,9136
969489,POLICE OFFICER,11/2/2020,23045
960171,POLICE OFFICER,1/6/2016,8750
967425,POLICE OFFICER,4/15/2019,4606
972513,POLICE OFFICER,10/12/2021,638
955723,POLICE OFFICER,1/8/2014,3834
941356,POLICE OFFICER,7/10/2006,27442
941356,DETECTIVE,2/24/2017,6200
954498,POLICE OFFICER,7/9/2013,7633
954498,POLICE OFFICER,7/2/2018,11899
954498,POLICE OFFICER,7/11/2018,7633
951508,POLICE OFFICER,1/9/2012,9544
964890,POLICE OFFICER,1/10/2018,22004
961624,POLICE OFFICER,7/13/2016,12060
952419,POLICE OFFICER,7/11/2012,19964
952419,SERGEANT,3/18/2021,209
960172,POLICE OFFICER,1/6/2016,12781
947708,POLICE OFFICER,7/8/2008,9495
947708,DETECTIVE,9/30/2016,7061
958263,POLICE OFFICER,7/8/2015,18827
941357,POLICE OFFICER,7/10/2006,80
968943,POLICE OFFICER,1/6/2020,27938
929646,POLICE OFFICER,7/1/2002,26447
888043,POLICE OFFICER,1/9/1986,26
888043,DETECTIVE,9/27/1991,4275
888043,SERGEANT,11/25/1997,283
888043,LIEUTENANT,1/31/2003,
888043,LT DET COMMANDER,7/25/2008,
953640,POLICE OFFICER,1/9/2013,2381
953640,DETECTIVE,10/26/2018,3456
953640,SERGEANT,6/28/2019,114
946752,POLICE OFFICER,7/8/2008,15383
946752,DETECTIVE,12/22/2020,3497
918706,POLICE OFFICER,4/15/1997,5924
918706,DETECTIVE,7/27/2001,1413
968242,POLICE OFFICER,10/7/2019,21786
965654,POLICE OFFICER,4/25/2018,11875
964891,POLICE OFFICER,1/10/2018,22066
941358,POLICE OFFICER,7/10/2006,25270
941358,DETECTIVE,12/23/2013,7232
941358,SERGEANT,1/31/2014,5050
941358,LIEUTENANT,11/26/2019,
936140,POLICE OFFICER,1/10/2005,18208
936140,DETECTIVE,11/25/2014,2079
954776,POLICE OFFICER,7/9/2013,22798
954776,DETECTIVE,11/24/2020,7299
954776,SERGEANT,2/9/2022,1133
954776,SERGEANT,3/10/2022,1929
946687,POLICE OFFICER,7/8/2008,1926
946687,DETECTIVE,7/28/2017,1276
960173,POLICE OFFICER,1/6/2016,503
967755,POLICE OFFICER,7/1/2019,18044
962222,POLICE OFFICER,10/11/2016,19091
941359,POLICE OFFICER,7/10/2006,329
950018,POLICE OFFICER,7/6/2011,9731
950018,DETECTIVE,6/10/2021,2324
932267,POLICE OFFICER,7/1/2003,24132
973225,POLICE OFFICER,12/29/2021,21311
968944,POLICE OFFICER,1/6/2020,11031
945992,POLICE OFFICER,1/7/2008,26860
949700,POLICE OFFICER,7/6/2010,11374
960174,POLICE OFFICER,1/6/2016,4299
964892,POLICE OFFICER,1/10/2018,13067
948627,POLICE OFFICER,7/6/2010,3801
948627,POLICE OFFICER,11/7/2012,3898
931528,POLICE OFFICER,7/1/2002,22345
931528,SERGEANT,7/27/2007,646
931528,LIEUTENANT,8/1/2016,
931528,CAPTAIN,8/31/2018,
931528,DEPUTY INSPECTOR,7/21/2022,
958765,POLICE OFFICER,7/8/2015,19785
966444,POLICE OFFICER,10/24/2018,929
973227,POLICE OFFICER,12/29/2021,21993
939881,POLICE OFFICER,1/9/2006,5966
939881,DETECTIVE,6/25/2020,1984
936141,POLICE OFFICER,1/10/2005,29421
936141,SERGEANT,6/2/2014,268
936141,LIEUTENANT,2/9/2022,
896960,POLICE OFFICER,10/15/1990,25241
896960,SERGEANT,4/24/1998,1118
896960,LIEUTENANT,2/20/2002,
896960,LT DET COMMANDER,4/30/2008,
903358,POLICE OFFICER,8/30/1993,18987
903358,PO SPECIAL ASSIGN,7/1/1998,
939882,POLICE OFFICER,1/9/2006,30787
956395,POLICE OFFICER,7/9/2014,2098
956395,DETECTIVE,10/18/2021,6144
966445,POLICE OFFICER,10/24/2018,16079
954499,POLICE OFFICER,7/9/2013,17819
963379,POLICE OFFICER,4/12/2017,8535
932138,POLICE OFFICER,7/1/2003,415
932138,SERGEANT,8/29/2008,3469
932138,LIEUTENANT,6/28/2019,
973228,POLICE OFFICER,12/29/2021,24652
957338,POLICE OFFICER,1/7/2015,15577
964378,POLICE OFFICER,10/18/2017,7042
951510,POLICE OFFICER,1/9/2012,11313
944331,POLICE OFFICER,7/9/2007,5689
944331,DETECTIVE,6/10/2021,2370
944331,SERGEANT,7/30/2021,702
939883,POLICE OFFICER,1/9/2006,20068
939883,POLICE OFFICER,9/15/2020,3179
954500,POLICE OFFICER,7/9/2013,14869
936142,POLICE OFFICER,1/10/2005,17546
936142,DETECTIVE,12/17/2015,3931
936143,POLICE OFFICER,1/10/2005,360
936143,DETECTIVE,6/24/2016,4971
963854,POLICE OFFICER,7/5/2017,19567
941360,POLICE OFFICER,7/10/2006,10402
941360,DETECTIVE,9/28/2012,6755
941360,SERGEANT,3/28/2013,3455
941360,LIEUTENANT,9/28/2018,
944332,POLICE OFFICER,7/9/2007,13936
961626,POLICE OFFICER,7/13/2016,18629
945477,POLICE OFFICER,1/7/2008,5807
945477,SERGEANT,6/30/2017,3840
944333,POLICE OFFICER,7/9/2007,15456
905713,POLICE OFFICER,2/28/1994,7243
954501,POLICE OFFICER,7/9/2013,17127
937896,POLICE OFFICER,7/11/2005,9439
892206,POLICE OFFICER,1/1/1990,16327
892206,DETECTIVE,5/25/1995,334
892206,SERGEANT,9/29/1995,4447
892206,LIEUTENANT,9/28/2001,
892206,CAPTAIN,8/31/2006,
892206,DEPUTY INSPECTOR,6/24/2011,
892206,INSPECTOR,10/28/2016,
952421,POLICE OFFICER,7/11/2012,9617
952421,DETECTIVE,6/24/2022,5975
956204,POLICE OFFICER,1/8/2014,15037
970980,POLICE OFFICER,2/24/2021,24592
936144,POLICE OFFICER,1/10/2005,20141
936144,SERGEANT,1/27/2010,152
966947,POLICE OFFICER,1/3/2019,23844
942962,POLICE OFFICER,1/10/2007,17621
934417,POLICE OFFICER,7/1/2004,15766
934417,SERGEANT,3/2/2015,1377
936145,POLICE OFFICER,1/10/2005,25209
936145,SERGEANT,8/29/2013,3799
936145,LIEUTENANT,7/28/2017,
932801,POLICE OFFICER,7/1/2003,9959
932801,DETECTIVE,7/28/2017,5046
954502,POLICE OFFICER,7/9/2013,31722
954502,SERGEANT,12/21/2018,1730
924897,POLICE OFFICER,3/1/2000,30388
924897,DETECTIVE,2/29/2008,6983
960175,POLICE OFFICER,1/6/2016,9657
972401,POLICE OFFICER,7/13/2021,24417
950021,POLICE OFFICER,7/6/2011,3642
950021,SERGEANT,7/27/2018,408
942893,POLICE OFFICER,1/10/2007,3540
942893,DETECTIVE,11/22/2016,6630
934419,POLICE OFFICER,7/1/2004,21204
941363,POLICE OFFICER,7/10/2006,24345
941363,DETECTIVE,9/5/2014,3222
940898,POLICE OFFICER,1/9/2006,29438
940898,POLICE OFFICER,8/5/2019,29407
941364,POLICE OFFICER,7/10/2006,23216
952423,POLICE OFFICER,7/11/2012,18928
948255,POLICE OFFICER,7/14/2009,25961
948255,DETECTIVE,6/10/2021,3806
933599,POLICE OFFICER,1/20/2004,20282
952424,POLICE OFFICER,7/11/2012,18955
944334,POLICE OFFICER,7/9/2007,9473
944334,SERGEANT,6/30/2017,1137
944334,LIEUTENANT,2/9/2022,
962223,POLICE OFFICER,10/11/2016,22863
954504,POLICE OFFICER,7/9/2013,27522
941019,POLICE OFFICER,1/9/2006,24481
941019,DETECTIVE,6/25/2020,3341
972434,POLICE OFFICER,7/16/2021,16590
921127,POLICE OFFICER,7/1/1998,27960
921127,DETECTIVE,12/23/2008,2390
967426,POLICE OFFICER,4/15/2019,691
963380,POLICE OFFICER,4/12/2017,8552
955728,POLICE OFFICER,1/8/2014,13625
970981,POLICE OFFICER,2/24/2021,22789
950022,POLICE OFFICER,7/6/2011,17863
964894,POLICE OFFICER,1/10/2018,31466
968945,POLICE OFFICER,1/6/2020,22156
970395,POLICE OFFICER,12/29/2020,1830
970395,POLICE OFFICER,10/1/2021,1823
968946,POLICE OFFICER,1/6/2020,25264
944335,POLICE OFFICER,7/9/2007,9476
944335,SERGEANT,8/3/2012,283
944335,LIEUTENANT,4/30/2020,
952425,POLICE OFFICER,7/11/2012,23829
952425,POLICE OFFICER,7/11/2012,23829
968244,POLICE OFFICER,10/7/2019,8342
968244,POLICE OFFICER,10/7/2019,8342
971806,POLICE OFFICER,7/7/2021,23989
971806,POLICE OFFICER,7/7/2021,23989
947710,POLICE OFFICER,7/8/2008,25875
947710,POLICE OFFICER,7/8/2008,25875
934421,POLICE OFFICER,7/1/2004,8685
934421,DETECTIVE,6/10/2021,2374
934421,POLICE OFFICER,7/1/2004,8685
934421,DETECTIVE,6/10/2021,2374
950023,POLICE OFFICER,7/6/2011,24119
950023,POLICE OFFICER,7/6/2011,24119
934422,POLICE OFFICER,7/1/2004,27531
934422,POLICE OFFICER,7/1/2004,27531
905719,POLICE OFFICER,2/28/1994,6955
905719,DETECTIVE,11/30/2005,1287
905719,POLICE OFFICER,2/28/1994,6955
905719,DETECTIVE,11/30/2005,1287
968245,POLICE OFFICER,10/7/2019,26666
968245,POLICE OFFICER,10/7/2019,26666
970396,POLICE OFFICER,12/29/2020,8403
970396,POLICE OFFICER,12/29/2020,8403
960176,POLICE OFFICER,1/6/2016,1059
960176,POLICE OFFICER,1/6/2016,1059
950024,POLICE OFFICER,7/6/2011,11775
950024,DETECTIVE,4/28/2017,3021
969490,POLICE OFFICER,11/2/2020,24924
947892,POLICE OFFICER,1/14/2009,6000
947892,SERGEANT,6/30/2017,1181
947892,SERGEANT,2/22/2022,1603
942963,POLICE OFFICER,1/10/2007,19566
942963,POLICE OFFICER,12/8/2009,5
942963,POLICE OFFICER,9/9/2016,11268
948629,POLICE OFFICER,7/6/2010,7397
962224,POLICE OFFICER,10/11/2016,22703
971322,POLICE OFFICER,4/28/2021,14018
964895,POLICE OFFICER,1/10/2018,20507
966446,POLICE OFFICER,10/24/2018,16081
962225,POLICE OFFICER,10/11/2016,20210
937999,POLICE OFFICER,7/11/2005,7813
937999,DETECTIVE,8/31/2015,3113
929656,POLICE OFFICER,7/1/2002,25158
929656,DETECTIVE,6/24/2016,4600
929657,POLICE OFFICER,7/1/2002,27115
929657,DETECTIVE,10/25/2013,1337
929424,POLICE OFFICER,7/1/2002,3378
929424,DETECTIVE,5/30/2008,1178
973229,POLICE OFFICER,12/29/2021,23975
932271,POLICE OFFICER,7/1/2003,24528
958266,POLICE OFFICER,7/8/2015,20747
958266,DETECTIVE,2/9/2022,1055
936044,POLICE OFFICER,1/10/2005,30047
936044,DETECTIVE,1/28/2010,6035
960177,POLICE OFFICER,1/6/2016,17203
919913,POLICE OFFICER,7/15/1997,3307
936147,POLICE OFFICER,1/10/2005,29688
950025,POLICE OFFICER,7/6/2011,26964
968246,POLICE OFFICER,10/7/2019,10311
968246,POLICE OFFICER,10/18/2021,10328
947711,POLICE OFFICER,7/8/2008,9513
947711,POLICE OFFICER,6/8/2015,9593
973230,POLICE OFFICER,12/29/2021,22621
936149,POLICE OFFICER,1/10/2005,11604
936149,DETECTIVE,3/26/2010,774
936149,SERGEANT,2/24/2017,1279
972514,POLICE OFFICER,10/12/2021,640
960178,POLICE OFFICER,1/6/2016,5987
914534,POLICE OFFICER,5/1/1995,27122
914534,DETECTIVE,1/25/2001,1112
959419,POLICE OFFICER,7/8/2015,19698
968248,POLICE OFFICER,10/7/2019,22327
965656,POLICE OFFICER,4/25/2018,4798
961318,POLICE OFFICER,1/6/2016,3624
954505,POLICE OFFICER,7/9/2013,18621
954505,SERGEANT,2/9/2022,1139
938001,POLICE OFFICER,7/11/2005,9506
933621,POLICE OFFICER,1/20/2004,1705
933621,SERGEANT,10/26/2018,728
955729,POLICE OFFICER,1/8/2014,12615
933548,DETECTIVE,2/5/2020,1950
887101,SERGEANT,12/21/1989,278
887101,SGT DET SQUAD,8/31/2006,
970397,POLICE OFFICER,12/29/2020,7524
952427,POLICE OFFICER,7/11/2012,16398
961627,POLICE OFFICER,7/13/2016,16889
951512,POLICE OFFICER,1/9/2012,12180
945481,POLICE OFFICER,1/7/2008,27814
945481,SERGEANT,3/1/2013,1379
945481,LIEUTENANT,9/28/2018,
973231,POLICE OFFICER,12/29/2021,20566
950026,POLICE OFFICER,7/6/2011,17865
950026,DETECTIVE,4/28/2017,365
950026,SERGEANT,7/21/2022,162
950027,POLICE OFFICER,7/6/2011,24128
932272,POLICE OFFICER,7/1/2003,12178
934425,POLICE OFFICER,7/1/2004,21313
969492,POLICE OFFICER,11/2/2020,16587
940199,POLICE OFFICER,1/9/2006,2991
940931,POLICE OFFICER,1/9/2006,2346
940931,SERGEANT,3/2/2015,1407
940931,LIEUTENANT,11/26/2019,
957339,POLICE OFFICER,1/7/2015,1189
957339,DETECTIVE,7/30/2021,1795
934426,POLICE OFFICER,7/1/2004,13331
934426,SERGEANT,3/30/2012,540
934426,LIEUTENANT,12/21/2016,
921934,POLICE OFFICER,8/31/1998,16627
921934,SERGEANT,7/30/2004,343
921934,SGT DET SQUAD,6/24/2011,
921934,LIEUTENANT,12/23/2011,
921934,LT DET COMMANDER,10/30/2015,
962227,POLICE OFFICER,10/11/2016,25564
941366,POLICE OFFICER,7/10/2006,7259
971807,POLICE OFFICER,7/7/2021,21607
944336,POLICE OFFICER,7/9/2007,15470
944336,SERGEANT,6/26/2015,4977
944336,LIEUTENANT,8/30/2019,
944336,LT DET COMMANDER,7/21/2022,
965657,POLICE OFFICER,4/25/2018,11163
962228,POLICE OFFICER,10/11/2016,19888
940423,POLICE OFFICER,1/9/2006,20899
940423,DETECTIVE,8/31/2015,805
926488,POLICE OFFICER,9/29/2000,6710
926488,SERGEANT,3/26/2010,804
967427,POLICE OFFICER,4/15/2019,7280
941367,POLICE OFFICER,7/10/2006,13510
941367,SERGEANT,5/29/2012,596
941367,LIEUTENANT,2/24/2017,
941367,CAPTAIN,3/18/2021,
956398,POLICE OFFICER,7/9/2014,9218
959460,POLICE OFFICER,10/7/2015,8507
966948,POLICE OFFICER,1/3/2019,23857
971808,POLICE OFFICER,7/7/2021,21910
932273,POLICE OFFICER,7/1/2003,5740
932273,DETECTIVE,8/31/2015,3116
951513,POLICE OFFICER,1/9/2012,10830
951513,SERGEANT,6/10/2021,859
957340,POLICE OFFICER,1/7/2015,25001
969493,POLICE OFFICER,11/2/2020,22567
958268,POLICE OFFICER,7/8/2015,19790
973232,POLICE OFFICER,12/29/2021,23571
972515,POLICE OFFICER,10/12/2021,1152
972515,POLICE OFFICER,1/20/2022,5458
929659,POLICE OFFICER,7/1/2002,17602
929659,SERGEANT,5/29/2020,5046
929659,POLICE OFFICER,11/15/2021,17602
966447,POLICE OFFICER,10/24/2018,16121
953643,POLICE OFFICER,1/9/2013,19544
962229,POLICE OFFICER,10/11/2016,19676
959461,POLICE OFFICER,10/7/2015,21237
941368,POLICE OFFICER,7/10/2006,9027
941368,SERGEANT,10/28/2016,4012
972516,POLICE OFFICER,10/12/2021,4502
939886,POLICE OFFICER,1/9/2006,14020
939886,DETECTIVE,6/9/2017,4516
960179,POLICE OFFICER,1/6/2016,12332
926522,POLICE OFFICER,9/29/2000,7419
926522,DETECTIVE,9/24/2004,468
926522,SERGEANT,11/25/2008,203
926522,LIEUTENANT,6/5/2018,
915049,POLICE OFFICER,6/30/1995,17971
915049,DETECTIVE,8/1/2003,7717
915049,SERGEANT,11/30/2005,170
959462,POLICE OFFICER,10/7/2015,21674
917254,POLICE OFFICER,7/18/1996,21450
917254,POLICE OFFICER,8/22/1997,111
917254,DETECTIVE,10/25/2013,1370
948513,POLICE OFFICER,1/11/2010,8556
951514,POLICE OFFICER,1/9/2012,21351
951514,DETECTIVE,6/10/2021,3744
945482,POLICE OFFICER,1/7/2008,28231
945482,SERGEANT,6/25/2014,3856
945482,LIEUTENANT,1/29/2021,
967429,POLICE OFFICER,4/15/2019,9034
968948,POLICE OFFICER,1/6/2020,27941
934429,POLICE OFFICER,7/1/2004,30040
934429,POLICE OFFICER,7/8/2009,3360
934429,DETECTIVE,6/2/2014,5035
934429,DETECTIVE,7/23/2014,964
934429,SERGEANT,12/17/2015,3374
952428,POLICE OFFICER,7/11/2012,30687
942967,POLICE OFFICER,1/10/2007,19618
942967,DETECTIVE,3/1/2013,257
956399,POLICE OFFICER,7/9/2014,1422
956399,DETECTIVE,6/10/2021,2396
952429,POLICE OFFICER,7/11/2012,24584
952429,SERGEANT,10/7/2019,3143
936152,POLICE OFFICER,1/10/2005,64
936152,DETECTIVE,1/27/2010,1029
936152,SERGEANT,8/30/2012,1079
952514,POLICE OFFICER,7/11/2012,13388
924903,POLICE OFFICER,3/1/2000,26587
924903,DETECTIVE,3/31/2006,742
962230,POLICE OFFICER,10/11/2016,19680
929662,POLICE OFFICER,7/1/2002,12891
929662,DETECTIVE,2/28/2014,6483
957341,POLICE OFFICER,1/7/2015,26435
957341,DETECTIVE,12/21/2021,4927
960180,POLICE OFFICER,1/6/2016,14941
952430,POLICE OFFICER,7/11/2012,17868
952430,DETECTIVE,5/29/2020,6769
962231,POLICE OFFICER,10/11/2016,19702
932276,POLICE OFFICER,7/1/2003,20300
932276,DETECTIVE,4/24/2009,607
932276,SERGEANT,5/29/2012,725
932276,LIEUTENANT,7/30/2021,
932277,POLICE OFFICER,7/1/2003,18938
948631,POLICE OFFICER,7/6/2010,2072
948631,DETECTIVE,12/21/2021,5995
956400,POLICE OFFICER,7/9/2014,15279
918711,POLICE OFFICER,4/15/1997,25649
918711,SERGEANT,5/26/2006,122
968949,POLICE OFFICER,1/6/2020,11280
947893,POLICE OFFICER,1/14/2009,10083
961628,POLICE OFFICER,7/13/2016,1952
971323,POLICE OFFICER,4/28/2021,18981
946756,POLICE OFFICER,7/8/2008,1820
964897,POLICE OFFICER,1/10/2018,19013
959463,POLICE OFFICER,10/7/2015,24207
922032,POLICE OFFICER,8/31/1998,8569
922032,DETECTIVE,4/29/2011,6151
924907,POLICE OFFICER,3/1/2000,4380
924907,POLICE OFFICER,8/22/2003,4730
924907,DETECTIVE,2/28/2014,6518
966448,POLICE OFFICER,10/24/2018,17823
961629,POLICE OFFICER,7/13/2016,10610
960183,POLICE OFFICER,1/6/2016,13223
944210,POLICE OFFICER,7/9/2007,13952
938002,POLICE OFFICER,7/11/2005,1998
965940,POLICE OFFICER,7/2/2018,6638
945483,POLICE OFFICER,1/7/2008,26435
945483,POLICE OFFICER,8/2/2012,25809
945483,SERGEANT,6/9/2017,721
945483,LIEUTENANT,2/9/2022,
963068,POLICE OFFICER,1/4/2017,23683
972517,POLICE OFFICER,10/12/2021,2208
941372,POLICE OFFICER,7/10/2006,17280
941372,DETECTIVE,7/27/2018,1626
949696,POLICE OFFICER,7/6/2010,27105
949696,DETECTIVE,8/31/2018,7752
957342,POLICE OFFICER,1/7/2015,22465
971810,POLICE OFFICER,7/7/2021,18650
966449,POLICE OFFICER,10/24/2018,16128
948632,POLICE OFFICER,7/6/2010,5079
964899,POLICE OFFICER,1/10/2018,28232
924909,POLICE OFFICER,3/1/2000,28226
924909,DETECTIVE,10/26/2006,731
924909,SERGEANT,1/26/2007,2018
924909,SGT DET SQUAD,4/30/2020,
948302,POLICE OFFICER,7/14/2009,20670
948302,SERGEANT,2/9/2022,1158
905730,POLICE OFFICER,2/28/1994,17783
905730,PO SPECIAL ASSIGN,7/1/1998,
905730,DETECTIVE,6/4/1999,6503
917258,POLICE OFFICER,7/18/1996,19829
917258,DETECTIVE,11/30/2005,1384
946442,POLICE OFFICER,1/7/2008,30372
944338,POLICE OFFICER,7/9/2007,14275
944338,DETECTIVE,11/21/2017,833
964900,POLICE OFFICER,1/10/2018,15483
950032,POLICE OFFICER,7/6/2011,4447
950032,SERGEANT,9/3/2021,1465
926526,POLICE OFFICER,9/29/2000,6862
926526,DETECTIVE,8/22/2017,189
949838,POLICE OFFICER,7/6/2011,23622
962232,POLICE OFFICER,10/11/2016,21532
924910,POLICE OFFICER,3/1/2000,9661
924910,SERGEANT,1/31/2008,101
939889,POLICE OFFICER,1/9/2006,15346
939889,DETECTIVE,6/26/2015,4250
954508,POLICE OFFICER,7/9/2013,18677
954508,DETECTIVE,6/10/2021,2397
932279,POLICE OFFICER,7/1/2003,26726
932279,SERGEANT,4/28/2017,159
